auction_date,market_code,market_name,category,item_name,variety_name,grade,unit,trade_volume,min_price,max_price,avg_price,auction_type,source,fetched_at
2026-05-23,0000000001,aT화훼(양재),절화,거베라,미니(혼합),특2,속,180,600,600,600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,거베라,미니핑크,특2,속,45,500,500,500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,거베라,스파이더(크림),특2,속,26,1000,1000,1000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,공작초,핑크,특2,속,25,1700,1700,1700,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,국화,금수,상2,속,120,1800,1800,1800,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,국화,락스,상2,속,40,1600,1600,1600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,국화,슈가스타,상2,속,40,1000,1000,1000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,국화,큐티버블,상2,속,40,1200,1200,1200,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,국화,프레시쿨,상2,속,40,1600,1600,1600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,글로리오사,글로리오사,상1,속,48,4000,4000,4000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,냉이초,미니,상2,속,24,1000,1000,1000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,노무라,노무라,특3,속,160,1500,1500,1500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,델피니움,라벤다,상1,속,25,5000,5000,5000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,리시안사스,아레나라이트핑크겹,특2,속,48,3200,3200,3200,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,리시안사스,아레나화이트,특2,속,18,4000,4000,4000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,리시안사스,졸리핑크,특2,속,96,3000,3000,3000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,리시안사스,크로마화이트겹,특2,속,20,4500,4500,4500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,리시안사스,클라리스핑크겹,특2,속,72,4000,5000,4500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,마가렛,마가렛,상2,속,24,2000,2000,2000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,맨드라미,줄맨드라미,특2,속,15,4000,4000,4000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,메리골드,골드,특2,속,46,1200,1500,1370,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,메리골드,골드,특3,속,30,1000,1000,1000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,메리골드,스완,특3,속,20,1500,1500,1500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,밥티시아,보라,특2,속,30,1600,1600,1600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,백합,시베리아,특2,속,60,6000,7000,6600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,백합,우리타워,특2,속,48,8000,8000,8000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,보리사초,보리사초,상1,속,350,2000,2100,2029,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,수국,라벤다,상1,속,40,1600,1600,1600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,수국,베레나핑크,상1,속,20,1700,1700,1700,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,수국,아이스블루,특3,속,46,1510,1510,1510,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,수국,핑크,특3,속,24,1700,1700,1700,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,스타티스,환타지아,특2,속,20,4000,4000,4000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,스톡크,백색겹(sp),특2,속,172,1500,3000,1953,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,스톡크,백색겹(sp),특3,속,48,1300,1300,1300,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,스톡크,혼합(sp),특3,속,30,1500,1500,1500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,아스그레피아스,투베로사,특2,속,36,5500,5500,5500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,아스틸베,핑크,특2,속,32,5000,5000,5000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,아스틸베,핑크,특3,속,19,3000,3000,3000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,안개,코스믹,상1,속,27,4000,6000,4815,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,안시리움,라이브라,상3,속,41,500,500,500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,안시리움,마라빌라,특2,속,36,600,600,600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,안시리움,산터,특2,속,31,600,600,600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,안시리움,트로피칼,상3,속,41,600,600,600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,알리움,알리움,상2,속,100,600,600,600,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,알스트메리아,알스트메리아,특2,속,80,1000,1000,1000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,알스트메리아,참메리아(핑크),특2,속,39,1000,1000,1000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,영춘화,영춘화,상1,속,25,2500,2500,2500,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,영춘화,잎,특2,속,35,2000,2000,2000,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
2026-05-23,0000000001,aT화훼(양재),절화,옥시페탈륨,마블화이트,특2,속,80,3000,4000,3250,online,flower.at.or.kr/excelDownLoad,2026-06-20T13:34:22
