item_name,category,classify_method,observed_weekdays,variety_count,grade_set,obs_dates,total_volume
가자니아,절화,default,화금,2,특1,34,11660
가지,절화,default,화금,1,특1,3,65
가지마루,절화,default,화금,6,특1,41,1014
각구도라,절화,default,월화수금토,3,"보2,상2,상3,특2,특3",30,9204
개나리,절화,default,월수목,1,특2,5,251
개미취,절화,default,월화수목금토,2,"보2,상1,상2,상3,특1,특2,특3",61,16522
개운죽,절화,default,화금,13,특1,35,47711
거미바위솔,관엽,keyword,화,2,특1,8,860
거베라,절화,default,월화수목금토,45,"보2,보3,보통(3등),상(2등),상1,상2,상3,없음,특(1등),특1,특2,특3",216,1689592
게발선인장,관엽,keyword,화금,17,특1,51,16507
계화,절화,default,화,1,특1,1,8
고드세피아,절화,default,화금,2,특1,9,240
고무나무,관엽,keyword,화목금,70,"없음,특(1등),특1",96,39754
고사리과,관엽,keyword,화금,63,특1,95,72086
고추,절화,default,화금,4,특1,7,245
골드킹,절화,default,월수금,1,"상2,특2",30,6660
골든볼,절화,default,월화수목금,1,"상1,상2,상3,특2,특3",105,12158
공작초,절화,default,월화수목금토,25,"보2,보3,보통(3등),상(2등),상1,상2,상3,특(1등),특2,특3",177,196121
과꽃,절화,default,월화수목금토,46,"보2,보3,상1,상2,상3,없음,특(1등),특1,특2,특3",127,37539
관엽류,관엽,keyword,화금,420,"상1,특1",97,141566
관엽식물류극락조화,관엽,keyword,목,1,없음,1,80
관음죽,관엽,keyword,화금,5,특1,27,935
광나무(여정목),관엽,keyword,월수목금,1,"상1,상2,특2,특3",31,1870
구근류,절화,default,화금,9,특1,10,5705
구문초,절화,default,화금,2,특1,21,2598
구아바,절화,default,화금,5,특1,17,269
국화,절화,default,월화수목금토,448,"9등(등외),보1,보2,보3,보통(3등),상(2등),상1,상2,상3,없음,특(1등),특1,특2,특3",274,2623037
국화(스탠다드),절화,default,금,3,"4등,보통(3등),상(2등),특(1등)",1,4776
국화(스프레이),절화,default,금,32,"4등,보통(3등),상(2등),없음,특(1등)",1,6162
군자란,관엽,keyword,화금,4,특1,34,4472
귤나무,절화,default,화금,8,특1,44,2842
